Target;DisplayName
ou=server,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-RPC
ou=mgmt-server,ou=server,ou=company-template;OPT-EF_Computer_Server_SEAD_NetSupportManagerControl
ou=mgmt-server,ou=server,ou=company-template;OPT-EF_Computer_Client_NetSupportClientSettings
ou=vmhost-server,ou=server,ou=company-template;OPT-EF_SecurityBaseline_Computer_Cluster_Securityoption-SMB-Signature
ou=certificate-Server,ou=server,ou=company-template;EF_SecurityBaseline_Computer_ADCS_Securityoption-LocalPolicies-SecurityOptions
ou=systemuser,ou=company-template;_!-EF_Computer-User_Client-DomainUser_Desktop-SetWallpaper
ou=systemuser,ou=company-template;_!-OPT-EF_User_DomainUser_DriveMaps_Map-Home
ou=systemuser,ou=company-template;EF_SecurityBaseline_User_DomainUser_ControlPanel_AllowMouseSettingsOnly
ou=systemuser,ou=company-template;EF_SecurityBaseline_User_DomainUser_Desktop
ou=systemuser,ou=company-template;EF_SecurityBaseline_User_DomainUser_StartmenuTaskbar
ou=systemuser,ou=company-template;EF_SecurityBaseline_User_DomainUser_System
ou=systemuser,ou=company-template;EF_SecurityBaseline_User_DomainUser_WinComponents-AddFeaturesW10
ou=systemuser,ou=company-template;EF_SecurityBaseline_User_DomainUser_WinComponents-CloudContent
ou=systemuser,ou=company-template;EF_SecurityBaseline_User_DomainUser_WinComponents-FileExplorer
ou=systemuser,ou=company-template;EF_SecurityBaseline_User_DomainUser_WinComponents-InternetExplorer
ou=systemuser,ou=company-template;EF_User_DomainUser_ControlPanel-Personalization_SetScreensaver
ou=systemuser,ou=company-template;EF_User_DomainUser_SetDisplayScaling-100
ou=management,ou=systemuser,ou=company-template;_!-EF_User_Dispo_ControlPanelSettings-Printers
ou=management,ou=systemuser,ou=company-template;_!-OPT-EF_User_Dispo_StartmenuTaskbar-VolumeControl
ou=management,ou=systemuser,ou=company-template;EF_SecurityBaseline_User_Dispo_StartmenuTaskbar
ou=management,ou=systemuser,ou=company-template;EF_SecurityBaseline_User_Dispo_System
ou=management,ou=systemuser,ou=company-template;EF_SecurityBaseline_User_Dispo_WinComponents-LocationAndSensors
ou=management,ou=systemuser,ou=company-template;EF_SecurityBaseline_User_Dispo_WinComponents-Search
ou=management,ou=systemuser,ou=company-template;OPT-EF_User_Dispo_Shortcuts
ou=employee,ou=systemuser,ou=company-template;_!-EF_User_Dispo_ControlPanelSettings-Printers
ou=employee,ou=systemuser,ou=company-template;_!-OPT-EF_User_Dispo_StartmenuTaskbar-VolumeControl
ou=employee,ou=systemuser,ou=company-template;EF_SecurityBaseline_User_Dispo_StartmenuTaskbar
ou=employee,ou=systemuser,ou=company-template;EF_SecurityBaseline_User_Dispo_System
ou=employee,ou=systemuser,ou=company-template;EF_SecurityBaseline_User_Dispo_WinComponents-LocationAndSensors
ou=employee,ou=systemuser,ou=company-template;EF_SecurityBaseline_User_Dispo_WinComponents-Search
ou=employee,ou=systemuser,ou=company-template;OPT-EF_User_Dispo_Shortcuts
ou=company administratoren;EF_User_Admin_ControlPanel-Personalization_SetScreensaver
ou=company administratoren;OPT-EF_User_EF-Admin_PreferredLanguageAndKeyboardLayout
ou=company administratoren;OPT-EF_User_EF-Admin_Shortcuts
