Target;DisplayName
dc=;MS_SecurityBaseline_Computer_Global_ControlPanel-Personalization
dc=;CIS_SecurityBaseline_Computer_Global_GoogleChrome
dc=;MS_SecurityBaseline_Computer_Global_MSS
dc=;MS_SecurityBaseline_Computer_Global_MSSecurityGuide
dc=;MS_SecurityBaseline_Computer_Global_Network-DNSClient
dc=;MS_SecurityBaseline_Computer_Global_Network-Lanman
dc=;MS_SecurityBaseline_Computer_Global_Network-NetworkProvider
dc=;MS_SecurityBaseline_Computer_Global_Printers
dc=;MS_SecurityBaseline_Computer_Global_Securityoption-LocalPolicies-NetworkSecurity
dc=;MS_SecurityBaseline_Computer_Global_Securityoption-LocalPolicies-SecurityOptions
dc=;MS_SecurityBaseline_Computer_Global_Securityoption-LocalPolicies-UserRightAssignment
dc=;MS_SecurityBaseline_Computer_Global_System-EarlyLaunchAntimalware
dc=;MS_SecurityBaseline_Computer_Global_System-GroupPolicy
dc=;MS_SecurityBaseline_Computer_Global_System-KernelDMAProtection
dc=;MS_SecurityBaseline_Computer_Global_System-LocalSecurityAuthority
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-AutoPlay
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-Biometrics-FacialFeatures
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-DeliveryOptimization
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-EventLog
dc=;PSC_SecurityBaseline_Computer_Global_WinComponents-FileExplorer
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-InternetExplorer
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-MSDefenderAntiVir
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-RemDeskSvc
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-RSS
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-Search
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-WinDefenderSmartScreen
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-WindowsInstaller
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-WindowsLogonOptions
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-WinInkWorkspace
ou=domain controllers;MS_SecurityBaseline_Computer_DC_System-DeviceGuard
ou=clients,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-DeviceGuard
ou=clients,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-Logon
ou=clients,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-RPC
ou=server,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-DeviceGuard
ou=server,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-Logon
ou=server,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-RPC

